JobTypeFormAnswerId,JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,LinkedJobTypeId,SortOrder,ColorCodeId,ActionsRequired,,,,,,,,,,,,,,
1623,678,Yes,29/5/2021 21:18,186784,1,29/5/2021 21:18,0,0,3,0,NULL,,,,,,,,,,,,,,
1624,678,No,29/5/2021 21:18,186784,1,29/5/2021 21:18,0,0,4,0,NULL,,,,,,,,,,,,,,
1627,695,Yes,8/7/2021 2:04,6808,1,23/7/2021 5:33,0,0,3,0,NULL,,,,,,,,,,,,,,
1628,695,No,8/7/2021 2:04,6808,1,23/7/2021 5:33,0,0,1,0,NULL,,,,,,,,,,,,,,
1629,695,Not Sure,8/7/2021 2:04,6808,1,23/7/2021 5:33,0,0,2,0,NULL,,,,,,,,,,,,,,
1630,696,Through the house or apartment,21/7/2021 23:51,263936,1,21/7/2021 23:51,0,0,1,0,NULL,,,,,,,,,,,,,,
1631,696,Down the side of the house or apartment,21/7/2021 23:51,263936,1,21/7/2021 23:51,0,0,2,0,NULL,,,,,,,,,,,,,,
1632,690,1,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,1,0,NULL,,,,,,,,,,,,,,
1633,690,2,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,2,0,NULL,,,,,,,,,,,,,,
1634,690,3,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,3,0,NULL,,,,,,,,,,,,,,
1635,690,4,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,4,0,NULL,,,,,,,,,,,,,,
1636,690,5,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,5,0,NULL,,,,,,,,,,,,,,
1637,690,6,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,6,0,NULL,,,,,,,,,,,,,,
1638,690,7,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,7,0,NULL,,,,,,,,,,,,,,
1639,690,8,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,8,0,NULL,,,,,,,,,,,,,,
1640,690,9,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,9,0,NULL,,,,,,,,,,,,,,
1641,690,10,23/7/2021 5:43,257325,1,23/7/2021 5:52,0,0,10,0,NULL,,,,,,,,,,,,,,
1642,690,11,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,11,0,NULL,,,,,,,,,,,,,,
1643,690,12,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,12,0,NULL,,,,,,,,,,,,,,
1644,690,13,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,13,0,NULL,,,,,,,,,,,,,,
1645,690,14,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,14,0,NULL,,,,,,,,,,,,,,
1646,690,15,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,15,0,NULL,,,,,,,,,,,,,,
1647,690,16,23/7/2021 5:44,257325,1,23/7/2021 5:52,0,0,16,0,NULL,,,,,,,,,,,,,,
